altitude_km,temperature_K,density_kgpm3
0.0,288.16,1.225
0.01,288.0950001019105,1.2238244396329814
0.02,288.0300004076413,1.2226497461864858
0.03,287.9650009171915,1.221475919213081
0.04,287.9000016305601,1.2203029582654672
0.05,287.8350025477461,1.2191308628964759
0.06,287.77000366874864,1.2179596326590747
0.07,287.7050049935667,1.2167892671063618
0.08,287.64000652219937,1.2156197657915686
0.09,287.5750082546456,1.2144511282680586
0.1,287.5100101909045,1.21328335408933
0.11,287.44501233097515,1.2121164428090128
0.12,287.38001467485645,1.210950393980867
0.13,287.3150172225476,1.2097852071587905
0.14,287.2500199740476,1.20862088189681
0.15,287.1850229293554,1.2074574177490855
0.16,287.1200260884701,1.2062948142699115
0.17,287.0550294513908,1.2051330710137136
0.18,286.99003301811643,1.2039721875350498
0.19,286.92503678864614,1.2028121633886117
0.2,286.8600407629789,1.2016529981292237
0.21,286.79504494111376,1.200494691311842
0.22,286.7300493230498,1.1993372424915556
0.23,286.66505390878604,1.1981806512235873
0.24,286.60005869832145,1.1970249170632892
0.25,286.53506369165524,1.1958700395661512
0.26,286.4700688887863,1.1947160182877905
0.27,286.4050742897137,1.193562852783961
0.28,286.34007989443654,1.192410542610546
0.29,286.2750857029538,1.1912590873235631
0.3,286.2100917152645,1.190108486479163
0.31,286.14509793136784,1.188958739633627
0.32,286.08010435126266,1.18780984634337
0.33,286.01511097494813,1.1866618061649392
0.34,285.9501178024233,1.1855146186550154
0.35000000000000003,285.8851248336871,1.18436828337041
0.36,285.8201320687386,1.1832227998680667
0.37,285.7551395075769,1.1820781677050647
0.38,285.6901471502011,1.1809343864386128
0.39,285.62515499661004,1.1797914556260516
0.4,285.5601630468029,1.178649374824858
0.41000000000000003,285.4951713007788,1.1775081435926384
0.42,285.4301797585366,1.1763677614871306
0.43,285.36518842007547,1.1752282280662076
0.44,285.3001972853944,1.1740895428878726
0.45,285.2352063544924,1.1729517055102623
0.46,285.1702156273686,1.1718147154916458
0.4700000000000001,285.10522510402194,1.1706785723904238
